t(s),Average T volume 1,Flux surface 1: solute,Flux surface 2: solute,Total solute volume 1,Total retention volume 1,Total 1 volume 1
14126.486200464633,370.0000000000001,-5.295579120133664e+19,-7.747768877525513e-51,1.834766730529803e+17,5.394097410569882e+18,5.210620737516902e+18
15177.639399964692,370.0000000000001,-5.295579809396594e+19,-5.519840878600634e-50,1.901972324665597e+17,5.59116923229101e+18,5.400971999824451e+18
16333.907919414756,370.0000000000001,-5.2955804830030455e+19,3.9943592791956514e-48,1.972728654681666e+17,5.800159536844658e+18,5.60288667137649e+18
17605.80329080983,370.0000000000001,-5.2955811432381465e+19,1.9006499671548812e-47,2.047493756235918e+17,6.021651372156443e+18,5.816901996532848e+18
19004.88819934441,370.0000000000001,-5.295581790844582e+19,2.3281984857442836e-47,2.1266007757795187e+17,6.256231827114628e+18,6.043571749536673e+18
20543.881598732445,370.0000000000001,-5.295582425518973e+19,-5.3568536957010715e-45,2.210311835878092e+17,6.504502730581349e+18,6.283471546993544e+18
21942.966507267025,370.0000000000001,-5.295582960719796e+19,-5.71329792968779e-44,2.2865801135435882e+17,6.722715637975379e+18,6.494057626621021e+18
23481.95990665506,370.0000000000001,-5.295583489973101e+19,-4.9836572795185445e-42,2.3666563824325693e+17,6.954604662641403e+18,6.717939024398145e+18
25174.852645981904,370.0000000000001,-5.295584008051398e+19,-3.4047392902962115e-38,2.450632491136001e+17,7.200912079925934e+18,6.95584883081233e+18
27037.034659241428,370.0000000000001,-5.295584516035539e+19,-3.942334688376965e-34,2.5391400270720534e+17,7.462390649619194e+18,7.208476646911989e+18
29085.434873826907,370.0000000000001,-5.295585015417869e+19,-2.474600569621647e-30,2.632747884186147e+17,7.739787727562781e+18,7.476512939144169e+18
31338.675109870932,370.0000000000001,-5.295585506640395e+19,-8.235068305355869e-27,2.731882669030683e+17,8.033856089696838e+18,7.760667822793767e+18
