t(s),Average T volume 1,Flux surface 1: solute,Flux surface 2: solute,Total solute volume 1,Total retention volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Total 4 volume 1,Total 5 volume 1,Total 6 volume 1
1305.3093058841152,370.0000000000001,-5.290226509458541e+19,-6.77177988319592e-126,656876482523484.2,1.4175888827564263e+20,1.7974187348974816e+16,4.092339316025205e+19,3.3352945903005643e+19,2.7288775880219468e+19,2.956284053707581e+19,1.06123017312581e+19
1355.094487009109,370.0000000000001,-5.290329543219749e+19,-2.62619028729698e-126,668905042858418.4,1.4438207660425703e+20,1.8123688231035084e+16,4.163886307714683e+19,3.3983952060722225e+19,2.7805133472778592e+19,3.0122227936092336e+19,1.0813107464243182e+19
1409.858186246602,370.0000000000001,-5.290349132085625e+19,2.3385879594531302e-125,671375488777750.8,1.4725685617778811e+20,1.828337321963051e+16,4.242608217923138e+19,3.4674450811016196e+19,2.837017149524062e+19,3.0734352467918442e+19,1.1032844475673014e+19
1470.0982554078444,370.0000000000001,-5.290376781338273e+19,7.290237788136758e-125,675167119517775.6,1.5040245777970473e+20,1.864836791950748e+16,4.334763452320881e+19,3.5410124854948303e+19,2.8972061736862396e+19,3.1386400227469165e+19,1.1266912902176918e+19
1536.362331485211,370.0000000000001,-5.2905075195158946e+19,5.024431897973818e-125,693418986791009.4,1.5377598709661686e+20,1.9425194684635964e+16,4.439275185426637e+19,3.6180277172345967e+19,2.9602047420420542e+19,3.2068884705671352e+19,1.1511907330241137e+19
1596.6024006464534,370.0000000000001,-5.2907526715522966e+19,-1.5400766822713355e-124,727945232487720.5,1.5669515217430053e+20,1.987218278035653e+16,4.5229398692593164e+19,3.686906333543799e+19,3.0165609444995056e+19,3.267941023315411e+19,1.1731070340107334e+19
1651.3660998839464,370.0000000000001,-5.290821107400547e+19,-5.157069091927973e-124,737759616296065.8,1.5931146060606384e+20,2.0009533162902104e+16,4.593691937926111e+19,3.750041776788973e+19,3.06822645115435e+19,3.323911989676944e+19,1.1931991757820938e+19
1711.6061690451888,370.0000000000001,-5.2908361103951356e+19,-7.820832148333165e-124,740087808678544.5,1.6218036206644167e+20,2.017491715185032e+16,4.672314274738172e+19,3.818929958239293e+19,3.124597943283051e+19,3.3849811068975886e+19,1.215121422990012e+19
1777.8702451225554,370.0000000000001,-5.290862201511616e+19,1.7911919818701778e-124,744419148287461.1,1.6531886463556793e+20,2.0566670023871624e+16,4.76539669623377e+19,3.891956713851998e+19,3.1843423589055136e+19,3.4497042234009526e+19,1.238355362247345e+19
1850.7607288076588,370.0000000000001,-5.2909891809678655e+19,3.1620137218896996e-123,765803925855579.2,1.686786615220563e+20,2.1367030755283212e+16,4.869700247767819e+19,3.968586031462809e+19,3.2470246879026344e+19,3.5176100785389904e+19,1.2627318230652633e+19
1917.0248048850253,370.0000000000001,-5.291183482170817e+19,4.969964976972615e-123,798790356411734.8,1.7160427043127938e+20,2.1769705388483e+16,4.952425413589554e+19,4.03798837078375e+19,3.3038115810995024e+19,3.579129213115814e+19,1.284815614964826e+19
1977.2648740462678,370.0000000000001,-5.291228735358998e+19,1.542859413386919e-123,806616277638861.9,1.7423665434200513e+20,2.189862061435845e+16,5.023055943781816e+19,4.1016951293826925e+19,3.3559458211928396e+19,3.63560797415044e+19,1.3050900420035293e+19
2043.5289501236343,370.0000000000001,-5.291241019338933e+19,-1.3322506846109565e-122,808922025983292.1,1.771241367778205e+20,2.2077720086206416e+16,5.102617736869827e+19,4.170887311963101e+19,3.4125653779608228e+19,3.696945828004836e+19,1.3271087587722408e+19
2116.4194338087377,370.0000000000001,-5.291268023048971e+19,-3.2155393343384263e-122,814260853878372.5,1.8028068432237147e+20,2.2519712595676756e+16,5.197925869119612e+19,4.243775851904329e+19,3.4721932499193303e+19,3.761542688565615e+19,1.3502973753833093e+19
2196.598965862351,370.0000000000001,-5.291398670548204e+19,-9.482615957020915e-123,840387128241296.9,1.8364813406816148e+20,2.333555256462014e+16,5.301866136691648e+19,4.320777022196681e+19,3.5351808488095322e+19,3.829779252845504e+19,1.3747925523034935e+19
2269.4894495474546,370.0000000000001,-5.291545174755057e+19,7.098682580937314e-122,869907911606516.1,1.866026643940014e+20,2.367357558213378e+16,5.3838024942138786e+19,4.391396711963742e+19,3.5929670093161665e+19,3.8923809272963736e+19,1.3972649482606012e+19
2349.668981601068,370.0000000000001,-5.291574286173578e+19,1.5262739125235843e-121,875924723510476.9,1.8982930635290083e+20,2.3826408969879984e+16,5.470082844909262e+19,4.469582278086182e+19,3.656950898368234e+19,3.961696808333568e+19,1.4221475722235046e+19
2437.866466860043,370.0000000000001,-5.291590537729573e+19,-3.1996509662909334e-123,879621365079692.0,1.9336427904388222e+20,2.4149976690933864e+16,5.572120369367946e+19,4.5527609725300695e+19,3.725006400103485e+19,4.0354236018984215e+19,1.4486136006826949e+19
2534.8837006449157,370.0000000000001,-5.291668884365234e+19,-4.008005783161885e-121,897913185254840.5,1.9717673926545624e+20,2.4988431076344496e+16,5.691312259639141e+19,4.639442261340194e+19,3.7959090758806405e+19,4.112234832360679e+19,1.4761868628988103e+19
2623.081185903891,370.0000000000001,-5.291823049816281e+19,-3.865324236322193e-121,934156432749824.9,2.0050664214346947e+20,2.5504530505755276e+16,5.7851811700944536e+19,4.718528224476362e+19,3.8606201596882846e+19,4.182338506874553e+19,1.5013522845194406e+19
2703.2607179575043,370.0000000000001,-5.2918631374509515e+19,4.222970231395339e-121,943719037787661.1,2.0350168449985967e+20,2.5663178168222004e+16,5.864900991442778e+19,4.791222076295086e+19,3.92011066117713e+19,4.246786551370146e+19,1.5244874799802202e+19
2791.4582032164794,370.0000000000001,-5.291875371659772e+19,1.7694400299124567e-120,946882594382411.5,2.0678544082723367e+20,2.590707192776338e+16,5.95743987128106e+19,4.869231074123381e+19,3.983941107861711e+19,4.315936202379939e+19,1.5493104316250552e+19
2888.475437001352,370.0000000000001,-5.291917118984224e+19,1.0178896616514041e-120,958128443160554.2,2.1035707068805395e+20,2.65868938660148e+16,6.069649438283143e+19,4.950260561730422e+19,4.050219464819815e+19,4.387737754111092e+19,1.5750853476299995e+19
2976.672922260327,370.0000000000001,-5.292047104370203e+19,-2.827711133091084e-120,993395625130217.1,2.134893630838139e+20,2.7275311196508252e+16,6.162264138027415e+19,5.023225650139468e+19,4.109913566021743e+19,4.45240636333791e+19,1.598299720172683e+19
3056.8524543139406,370.0000000000001,-5.292109627001647e+19,-7.010186610104049e-120,1010491643462910.9,2.1628677127195424e+20,2.7475708786554212e+16,6.237028265603134e+19,5.091020554080323e+19,4.1653940302244954e+19,4.512510200613257e+19,1.6198754566312153e+19
3145.0499395729157,370.0000000000001,-5.292121160660127e+19,-4.8255699055727145e-120,1013783329892889.1,2.1935374788197735e+20,2.7634000146904304e+16,6.319658972858183e+19,5.165132566498113e+19,4.2260434250057466e+19,4.5782137127164486e+19,1.6434613327715607e+19
3242.0671733577883,370.0000000000001,-5.292137620682612e+19,1.1062393853178036e-119,1018823351724959.6,2.227114530944993e+20,2.803931695297615e+16,6.420606351191351e+19,5.242811527837152e+19,4.289590765317816e+19,4.647056663996432e+19,1.6681741870767057e+19
3348.786130521148,370.0000000000001,-5.292221998043281e+19,2.2616278001793469e-119,1044979054986178.2,2.2631488218908197e+20,2.891748346172315e+16,6.532644004328488e+19,5.324941064876466e+19,4.356771331666692e+19,4.719835609426547e+19,1.6942999623583295e+19
3445.8033643060207,370.0000000000001,-5.2923200442395025e+19,1.0280628268581166e-120,1075546773633999.5,2.294956051132004e+20,2.930003051114091e+16,6.619487426175238e+19,5.401416016520401e+19,4.419351711720044e+19,4.787631022034581e+19,1.718636777141299e+19
3552.5223214693806,370.0000000000001,-5.2923396457779225e+19,-5.1863733521851e-119,1081793474537776.6,2.3297348177207604e+20,2.947687664574903e+16,6.71223247681878e+19,5.485771802776121e+19,4.488386168344185e+19,4.8624183514705535e+19,1.745483510785948e+19
3669.913174349076,370.0000000000001,-5.29235626101487e+19,-4.2131196924321836e-119,1087553845076135.5,2.3677964132843572e+20,2.991986027611479e+16,6.826639344279779e+19,5.573833871632898e+19,4.560427485851355e+19,4.940463111263911e+19,1.773499578403508e+19
3799.0431125167415,370.0000000000001,-5.2924433152266805e+19,7.785085352573275e-119,1118213700452492.2,2.4085400379076703e+20,3.0862536175595096e+16,6.950580774953087e+19,5.6675998168633885e+19,4.637132377741901e+19,5.023560076352568e+19,1.8033292581781598e+19
3916.433965396437,370.0000000000001,-5.29252215432293e+19,1.1512752863470922e-118,1146145179663495.0,2.4446541977813467e+20,3.121646885165848e+16,7.047087794999764e+19,5.7551220768102e+19,4.7087578686716305e+19,5.101154359644718e+19,1.8311836162840175e+19
4045.5639035641025,370.0000000000001,-5.292537675223706e+19,-8.875941757410891e-119,1151869350804833.8,2.484179352344389e+20,3.1477373236334852e+16,7.156917987953426e+19,5.849530764492426e+19,4.7860106331285e+19,5.18484485529717e+19,1.8612263583136625e+19
4187.606835548534,370.0000000000001,-5.292576516791361e+19,-2.1193213210791e-118,1167218055374580.8,2.527105305348948e+20,3.2298706585980052e+16,7.2921122085893685e+19,5.946807308633746e+19,4.865576740965979e+19,5.271041470011269e+19,1.892168732824985e+19
4316.736773716199,370.0000000000001,-5.292674536726231e+19,8.80737033525177e-119,1206218985355097.5,2.5648631681786216e+20,3.2977258965918936e+16,7.397918745263102e+19,6.036687561893788e+19,4.939121942759008e+19,5.350715439224523e+19,1.920769644850666e+19
4434.127626595895,370.0000000000001,-5.292703753513455e+19,4.691612822196066e-118,1217961448979755.2,2.598845519664987e+20,3.318390251029142e+16,7.487898846890053e+19,6.119321078813873e+19,5.006748571998231e+19,5.423977622442375e+19,1.9470688901094007e+19
4563.25756476356,370.0000000000001,-5.292716116490796e+19,1.6438328729366592e-118,1223314052215750.8,2.6360664632492216e+20,3.3562209087217e+16,7.598421215229998e+19,6.205886930402503e+19,5.077568601530718e+19,5.500699320519417e+19,1.974610012495637e+19
4705.300496747992,370.0000000000001,-5.2927775595456676e+19,-7.985333493657959e-118,1250594367038003.0,2.676136746026923e+20,3.4516295361096216e+16,7.722665176513952e+19,6.297329061405812e+19,5.152367136755122e+19,5.581731065438172e+19,2.0036983311833547e+19
4834.430434915657,370.0000000000001,-5.292847644194008e+19,-6.8140330224390025e-118,1281862287085003.2,2.7116592731947005e+20,3.4940107167250424e+16,7.817841223848385e+19,6.383332579799866e+19,5.222749238547306e+19,5.657978343761911e+19,2.031069149044095e+19
4976.473366900089,370.0000000000001,-5.292862067122438e+19,1.1991052764705605e-117,1288475385519637.5,2.7505291855730885e+20,3.518674308684265e+16,7.92464964394836e+19,6.476571780595771e+19,5.2990474672788234e+19,5.740634759250701e+19,2.060740682809998e+19
5132.720592082964,370.0000000000001,-5.29289130795132e+19,1.3943330614718953e-117,1302858381589833.0,2.7928292093520888e+20,3.597256643691433e+16,8.058329288958758e+19,6.572280897603585e+19,5.377329854849293e+19,5.825440676895237e+19,2.091183832732171e+19
5274.763524067395,370.0000000000001,-5.292970510277051e+19,-1.64707680945866e-117,1342088091822702.0,2.8301587633689467e+20,3.6706370192173544e+16,8.16320685265495e+19,6.661050136720629e+19,5.449965490772344e+19,5.904129283033513e+19,2.1194310246796198e+19
5403.893462235061,370.0000000000001,-5.292996056612085e+19,-3.881282142619886e-117,1354836837429633.0,2.8637648418984077e+20,3.692567326843944e+16,8.251812717926652e+19,6.74289237403852e+19,5.516945503265564e+19,5.97669096484695e+19,2.1454788078957937e+19
5545.936394219492,370.0000000000001,-5.293007007282583e+19,5.6594089054016265e-118,1360684448753422.5,2.900575981745694e+20,3.731560526623512e+16,8.361889859400617e+19,6.828250924694152e+19,5.5867758477434356e+19,6.052340503946855e+19,2.1726350527003783e+19
5702.183619402367,370.0000000000001,-5.293060796062593e+19,7.47142750271795e-117,1390100128564310.8,2.94022780081667e+20,3.829061197779408e+16,8.4840045151924e+19,6.919010785275592e+19,5.661018054758622e+19,6.1327695601401405e+19,2.201507021589323e+19
5844.226551386799,370.0000000000001,-5.293114599357327e+19,2.7028751664133983e-117,1419646895078697.0,2.975510671289891e+20,3.870139433399003e+16,8.577569266928162e+19,7.0047530760349114e+19,5.731188780351992e+19,6.208787847790804e+19,2.228795637670125e+19
6000.473776569674,370.0000000000001,-5.293126206534482e+19,-1.3070072380654966e-116,1426219425284899.2,3.014140469886636e+20,3.8980609403741784e+16,8.685777357279899e+19,7.096737560917036e+19,5.806455813168422e+19,6.290327133962737e+19,2.2580661506553446e+19
